H,O0601,013,705791,"Jan 18 2026 11:04 PM ",01/21/2026,Y,," ",06845151,06845151,1305.29,36,DELIVERED
F,SUPC,"Case Qty","Split Qty","Cust #",Pack/Size,Brand,Description,"Mfr #","Per Lb","Case $","Each $"
P,1292275,1,0,,"1/25 LB",PACKER,"Tomato Roma Fresh",,N,,
P,1908318,1,0,,1/24CT,SYFPNAT,"Lettuce Iceberg Premium Palletized",,N,,
P,1910231,1,0,,"1/22-25#",PROPACK,"Pepper Green Bell Choice Fresh",,N,,
P,7078475,1,0,,"1/30 CT",IMPFRSH,"Cilantro Bunch Iceless",,N,,
P,1182237,1,0,,1/10LB,RELFRSH,"Mushroom Foodservice #2 Fresh",,N,,
P,7134591,1,0,,1/12CT,IMPFRSH,"Cucumber English Medium Seedless 12 Count",,N,,
P,0143093,1,0,,"36/6 OZ",CABBHNP,"Beef Chuck Ground Smash Patties Vac6",,N,,
P,5207511,2,0,,"4/10 LB",SANDRSN,"Chicken Cvp Thigh B/s Halal Frozen",,N,,
P,1803287,1,0,,4/10LB,"SYS CLS","Chicken Cvp Leg Quarter Small Halal",,N,,
P,4923308,1,0,,"4/10 LB",PACKER,"Chicken Wing Jumbo 1 And 2 Joint",,N,,
P,1295213,1,0,,36/1LB,WHLFCLS,"Butter Solid Unsalted",,N,,
P,1186253,1,0,,4/5LB,DAISY,"Cream Sour Pure Grade A",,N,,
P,7048037,1,0,,"12/1 QT",SCHEPPS,"Cream Heavy Whip 40 Percent",,N,,
P,2593440,0,2,,"4/5 LB",AREZIMP,"Cheese Mozzarella Shredded Whole Milk",,N,,
P,2819458,0,2,,4/5LB,CASAIMP,"Cheese Cheddar Jack Feather Shredded",,N,,
P,7892789,1,0,,"10/10 CT",PRFECT,"Bread Pita Wrap White 9""",,N,,
P,7318385,1,0,,"4/2.5 LB","SYS REL","Onion Ring Breaded 3/8 Inch Homestyle",,N,,
P,7318392,1,0,,"6/2 LB","SYS REL","Appetizer Cheese Battered Stick Mozzarella",,N,,
P,7006818,1,0,,"1/15 LB",MEKONGP,"Swai Filet Iqf 7-9 Ounce",,N,,
P,1516343,2,0,,"6/5 LB",LAMB,"Potato Fry Straight Cut .375 Inch Original Batter",,N,,
P,1184902,1,0,,"1/30 LB",PACKER,"Ginger Root Fresh",,N,,
P,3369354,1,0,,"4/1 GAL",SWTBABY,"Sauce Sweet Red Chili Wing & Glaze",,N,,
P,7353374,1,0,,"6/12 CT",NWB,"Bun Hamburger Plain 5 Inch Fresh",,N,,
P,5284633,1,0,,"6/6 CT",COSTNZO,"Roll Submarine 12"" White",,N,,
P,4119509,3,0,,1/35LB,"SYS REL","Shortening Fry Liquid Creamy Zero Trans Fat",,N,,
P,5132234,0,1,,4/5LB,BBRLCLS,"Cheese American 120 Slice Yellow",,N,,
P,4002432,1,0,,4/1GAL,"SYS REL","Mayonnaise Heavy Duty",,N,,
P,8420805,1,0,,250/CT,NUTRBON,"Kit Cutlery Fork, Knife, Spoon, Napkin, Salt And Pepper Medium Weight",,N,,
P,6935464,1,0,,12/32OZ,WHLFCLS,"Cream Heavy 40% Extended Shelf Life Stabilized",,N,,
P,7107838,1,0,,"4/4 LB","SYS PRM","Appetizer Pepper Jalapeno Cream Cheese Breaded",,N,,
